End Semester Exam Timetable 2019-20 Semester I,,,,,,,,
Date,Time,Course Code,Course Name,Number of Students,Room No. ,Seating Capacity,Roll Number,
"Tuesday, December 3, 2019",9:30 AM     –           12:00 NOON,HS 111,Urdu Script & Poetry,36,"7/202
7/203","25
25","16110015-19510052
19510053-19510097",
,,HS 519,Linguistic Anthropology ,18,7/210,40,15110107-19310037,
,,ES 203,"Digital Systems 
",78,"7/208
7/209","50
50","16110030-18110124
18110125-19120009",
,,IN 304,Ancient Indian Technologies,40,"7/102
7/103",,"14110083-16110145
17110011-18250032",
,,MS 306,"Principles of Business management
(9:30AM to 10:30AM)",55,1/101,,13110081-19120002,
,,,,227,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
L,,,,,,,,
"Tuesday, December 3, 2019","2:00 PM
 – 
 4:30 PM",,,,7/202,25,13510022-18510073,
,,CE 611,Adv. Engineering Hydrology,18,7/110,20,19210032-19310055,
,,PH 605,Topics in Classical Mechanics and Electrodynamics,9,7/203,25,16110166-19310054,
,,HS 103,French Studies,45,7/208,50,16110008-19510088,
,,,,,,,,
,,,,, , , ,
,,MS 409,"Managerial Economics Concepts, Applications & Cases",31,"7/102
7/103","25
20","15110074-17110052
17110060-17110182",
,,HS 104,Foundational Sanskrit  (Exam starts at 8:00PM),39,7/209,50,14110083-19510095,
,,EE 411,Digital Signal Processing (Exam starts at 8:00PM),63,1/101,140,14110141-19210115,
,, ,,,,,,
,,,,205,,,,
